iso_code,date,value,indicator
AFG,1997-01-01,18.2,Wasting (%)
AFG,2004-01-01,8.6,Wasting (%)
AFG,2013-01-01,9.5,Wasting (%)
AFG,2018-01-01,5.1,Wasting (%)
AGO,1996-01-01,7.7,Wasting (%)
AGO,2007-01-01,8.2,Wasting (%)
AGO,2015-01-01,4.9,Wasting (%)
ALB,1997-01-01,8.1,Wasting (%)
ALB,2000-01-01,12.2,Wasting (%)
ALB,2005-01-01,7.3,Wasting (%)
ALB,2009-01-01,9.6,Wasting (%)
ALB,2017-01-01,1.6,Wasting (%)
ARG,1994-01-01,1.6,Wasting (%)
ARG,1996-01-01,4.2,Wasting (%)
ARG,2005-01-01,1.2,Wasting (%)
ARG,2019-01-01,1.6,Wasting (%)
ARM,1998-01-01,3.3,Wasting (%)
ARM,2000-01-01,2.5,Wasting (%)
ARM,2005-01-01,5.4,Wasting (%)
ARM,2010-01-01,4.1,Wasting (%)
ARM,2016-01-01,4.4,Wasting (%)
AUS,1995-01-01,0.0,Wasting (%)
AUS,2007-01-01,0.0,Wasting (%)
AZE,1996-01-01,3.8,Wasting (%)
AZE,2000-01-01,9.0,Wasting (%)
AZE,2001-01-01,3.2,Wasting (%)
AZE,2006-01-01,6.8,Wasting (%)
AZE,2011-01-01,6.6,Wasting (%)
AZE,2013-01-01,3.2,Wasting (%)
BDI,1987-01-01,6.7,Wasting (%)
BDI,2000-01-01,8.1,Wasting (%)
BDI,2005-01-01,9.0,Wasting (%)
BDI,2010-01-01,6.0,Wasting (%)
BDI,2016-01-01,5.1,Wasting (%)
BDI,2018-01-01,4.8,Wasting (%)
BDI,2019-01-01,4.8,Wasting (%)
BEL,2014-01-01,0.4,Wasting (%)
BEN,1996-01-01,12.3,Wasting (%)
BEN,2001-01-01,9.0,Wasting (%)
BEN,2008-01-01,5.0,Wasting (%)
BEN,2014-01-01,4.5,Wasting (%)
BEN,2018-01-01,5.0,Wasting (%)
BFA,1993-01-01,15.4,Wasting (%)
BFA,1999-01-01,15.5,Wasting (%)
BFA,2009-01-01,11.3,Wasting (%)
BFA,2010-01-01,15.5,Wasting (%)
BFA,2011-01-01,10.4,Wasting (%)
BFA,2012-01-01,10.7,Wasting (%)
BFA,2013-01-01,8.1,Wasting (%)
BFA,2014-01-01,8.5,Wasting (%)
BFA,2015-01-01,10.2,Wasting (%)
BFA,2016-01-01,7.5,Wasting (%)
BFA,2017-01-01,8.6,Wasting (%)
BFA,2018-01-01,8.4,Wasting (%)
BFA,2019-01-01,8.1,Wasting (%)
BGD,1998-01-01,15.0,Wasting (%)
BGD,1999-01-01,13.7,Wasting (%)
BGD,2000-01-01,12.5,Wasting (%)
BGD,2001-01-01,12.7,Wasting (%)
BGD,2002-01-01,12.4,Wasting (%)
BGD,2003-01-01,12.5,Wasting (%)
BGD,2004-01-01,14.6,Wasting (%)
BGD,2005-01-01,11.8,Wasting (%)
BGD,2006-01-01,11.9,Wasting (%)
BGD,2007-01-01,17.5,Wasting (%)
BGD,2011-01-01,15.7,Wasting (%)
BGD,2013-01-01,18.1,Wasting (%)
BGD,2014-01-01,14.4,Wasting (%)
BGD,2018-01-01,8.4,Wasting (%)
BGD,2019-01-01,9.8,Wasting (%)
BGR,2004-01-01,3.2,Wasting (%)
BGR,2007-01-01,4.7,Wasting (%)
BGR,2014-01-01,6.3,Wasting (%)
BHR,1989-01-01,6.8,Wasting (%)
BHR,1995-01-01,6.6,Wasting (%)
BIH,2000-01-01,7.4,Wasting (%)
BIH,2006-01-01,4.0,Wasting (%)
BIH,2012-01-01,2.3,Wasting (%)
BLR,2005-01-01,2.2,Wasting (%)
BLZ,2006-01-01,1.9,Wasting (%)
BLZ,2011-01-01,3.3,Wasting (%)
BLZ,2015-01-01,1.8,Wasting (%)
BOL,1989-01-01,1.5,Wasting (%)
BOL,1994-01-01,3.6,Wasting (%)
BOL,1998-01-01,1.6,Wasting (%)
BOL,2003-01-01,1.7,Wasting (%)
BOL,2008-01-01,1.4,Wasting (%)
BOL,2012-01-01,1.5,Wasting (%)
BOL,2016-01-01,2.0,Wasting (%)
BRA,1989-01-01,2.4,Wasting (%)
BRA,1996-01-01,2.8,Wasting (%)
BRA,2007-01-01,1.8,Wasting (%)
BRB,2012-01-01,6.8,Wasting (%)
BRN,2009-01-01,2.9,Wasting (%)
BTN,1987-01-01,5.2,Wasting (%)
BTN,1999-01-01,2.5,Wasting (%)
BTN,2008-01-01,4.5,Wasting (%)
BTN,2010-01-01,5.9,Wasting (%)
BWA,1996-01-01,13.2,Wasting (%)
BWA,2000-01-01,5.9,Wasting (%)
BWA,2007-01-01,7.3,Wasting (%)
CAF,1994-01-01,8.7,Wasting (%)
CAF,2000-01-01,10.4,Wasting (%)
CAF,2006-01-01,12.1,Wasting (%)
CAF,2010-01-01,7.4,Wasting (%)
CAF,2012-01-01,7.4,Wasting (%)
CAF,2014-01-01,6.2,Wasting (%)
CAF,2018-01-01,6.5,Wasting (%)
CAF,2019-01-01,5.2,Wasting (%)
CHL,1986-01-01,0.7,Wasting (%)
CHL,1994-01-01,0.5,Wasting (%)
CHL,1995-01-01,0.5,Wasting (%)
CHL,1996-01-01,0.5,Wasting (%)
CHL,1998-01-01,0.6,Wasting (%)
CHL,1999-01-01,0.5,Wasting (%)
CHL,2001-01-01,0.5,Wasting (%)
CHL,2002-01-01,0.5,Wasting (%)
CHL,2003-01-01,0.5,Wasting (%)
CHL,2004-01-01,0.5,Wasting (%)
CHL,2006-01-01,0.5,Wasting (%)
CHL,2007-01-01,0.3,Wasting (%)
CHL,2008-01-01,0.3,Wasting (%)
CHL,2013-01-01,0.3,Wasting (%)
CHL,2014-01-01,0.3,Wasting (%)
CHN,1987-01-01,4.8,Wasting (%)
CHN,1990-01-01,4.2,Wasting (%)
CHN,1992-01-01,3.9,Wasting (%)
CHN,1995-01-01,5.0,Wasting (%)
CHN,1998-01-01,2.4,Wasting (%)
CHN,2000-01-01,2.5,Wasting (%)
CHN,2002-01-01,3.0,Wasting (%)
CHN,2005-01-01,2.9,Wasting (%)
CHN,2008-01-01,2.6,Wasting (%)
CHN,2009-01-01,2.6,Wasting (%)
CHN,2010-01-01,2.3,Wasting (%)
CHN,2013-01-01,1.9,Wasting (%)
CHN,2017-01-01,1.9,Wasting (%)
CIV,1986-01-01,8.5,Wasting (%)
CIV,1994-01-01,8.3,Wasting (%)
CIV,1998-01-01,6.9,Wasting (%)
CIV,2007-01-01,14.0,Wasting (%)
CIV,2012-01-01,7.6,Wasting (%)
CIV,2016-01-01,6.1,Wasting (%)
CMR,1991-01-01,4.5,Wasting (%)
CMR,1998-01-01,6.2,Wasting (%)
CMR,2004-01-01,6.2,Wasting (%)
CMR,2006-01-01,7.6,Wasting (%)
CMR,2011-01-01,5.7,Wasting (%)
CMR,2014-01-01,5.2,Wasting (%)
CMR,2018-01-01,4.3,Wasting (%)
COD,1995-01-01,11.4,Wasting (%)
COD,2001-01-01,15.9,Wasting (%)
COD,2007-01-01,10.4,Wasting (%)
COD,2010-01-01,8.5,Wasting (%)
COD,2013-01-01,8.1,Wasting (%)
COD,2017-01-01,6.4,Wasting (%)
COG,1987-01-01,6.6,Wasting (%)
COG,2005-01-01,8.0,Wasting (%)
COG,2011-01-01,6.0,Wasting (%)
COG,2014-01-01,8.2,Wasting (%)
COL,1986-01-01,1.0,Wasting (%)
COL,1989-01-01,3.8,Wasting (%)
COL,1995-01-01,1.7,Wasting (%)
COL,2000-01-01,1.0,Wasting (%)
COL,2005-01-01,1.6,Wasting (%)
COL,2010-01-01,0.9,Wasting (%)
COL,2016-01-01,1.6,Wasting (%)
COM,1992-01-01,5.3,Wasting (%)
COM,1996-01-01,10.7,Wasting (%)
COM,2000-01-01,13.3,Wasting (%)
COM,2012-01-01,11.2,Wasting (%)
CPV,1985-01-01,4.2,Wasting (%)
CPV,1994-01-01,6.9,Wasting (%)
CRI,1996-01-01,2.4,Wasting (%)
CRI,2008-01-01,1.0,Wasting (%)
CRI,2018-01-01,1.8,Wasting (%)
CUB,2000-01-01,2.4,Wasting (%)
CUB,2019-01-01,2.0,Wasting (%)
CZE,1991-01-01,2.8,Wasting (%)
CZE,2001-01-01,4.6,Wasting (%)
DEU,2004-01-01,1.0,Wasting (%)
DEU,2016-01-01,0.3,Wasting (%)
DJI,1989-01-01,12.5,Wasting (%)
DJI,1996-01-01,14.9,Wasting (%)
DJI,2002-01-01,19.4,Wasting (%)
DJI,2012-01-01,21.5,Wasting (%)
DOM,1986-01-01,3.3,Wasting (%)
DOM,1991-01-01,2.1,Wasting (%)
DOM,1996-01-01,2.0,Wasting (%)
DOM,2000-01-01,1.5,Wasting (%)
DOM,2002-01-01,2.2,Wasting (%)
DOM,2006-01-01,1.7,Wasting (%)
DOM,2007-01-01,2.3,Wasting (%)
DOM,2013-01-01,2.4,Wasting (%)
DZA,1987-01-01,4.0,Wasting (%)
DZA,1992-01-01,7.1,Wasting (%)
DZA,1995-01-01,9.6,Wasting (%)
DZA,2000-01-01,3.1,Wasting (%)
DZA,2002-01-01,9.6,Wasting (%)
DZA,2006-01-01,4.1,Wasting (%)
DZA,2012-01-01,4.1,Wasting (%)
DZA,2019-01-01,2.7,Wasting (%)
EAS,2020-01-01,3.72170186042786,Wasting (%)
ECU,1986-01-01,2.3,Wasting (%)
ECU,1999-01-01,2.7,Wasting (%)
ECU,2004-01-01,2.0,Wasting (%)
ECU,2006-01-01,2.1,Wasting (%)
ECU,2012-01-01,2.4,Wasting (%)
ECU,2014-01-01,1.6,Wasting (%)
ECU,2019-01-01,3.7,Wasting (%)
EGY,1988-01-01,1.9,Wasting (%)
EGY,1991-01-01,4.5,Wasting (%)
EGY,1992-01-01,4.0,Wasting (%)
EGY,1995-01-01,5.7,Wasting (%)
EGY,1998-01-01,6.4,Wasting (%)
EGY,2003-01-01,5.2,Wasting (%)
EGY,2005-01-01,5.3,Wasting (%)
EGY,2008-01-01,7.9,Wasting (%)
EGY,2014-01-01,9.5,Wasting (%)
ERI,1993-01-01,11.8,Wasting (%)
ERI,1995-01-01,17.0,Wasting (%)
ERI,2002-01-01,15.0,Wasting (%)
ERI,2010-01-01,14.6,Wasting (%)
EST,2014-01-01,1.5,Wasting (%)
ETH,1992-01-01,9.2,Wasting (%)
ETH,2000-01-01,12.4,Wasting (%)
ETH,2005-01-01,12.4,Wasting (%)
ETH,2011-01-01,9.8,Wasting (%)
ETH,2014-01-01,8.8,Wasting (%)
ETH,2016-01-01,10.0,Wasting (%)
ETH,2019-01-01,7.2,Wasting (%)
FJI,1993-01-01,9.8,Wasting (%)
FJI,2004-01-01,6.3,Wasting (%)
GAB,2000-01-01,4.2,Wasting (%)
GAB,2012-01-01,3.4,Wasting (%)
GEO,1999-01-01,3.1,Wasting (%)
GEO,2005-01-01,3.0,Wasting (%)
GEO,2009-01-01,1.3,Wasting (%)
GEO,2018-01-01,0.6,Wasting (%)
GHA,1988-01-01,7.0,Wasting (%)
GHA,1993-01-01,10.9,Wasting (%)
GHA,1997-01-01,8.2,Wasting (%)
GHA,1998-01-01,9.9,Wasting (%)
GHA,2003-01-01,8.4,Wasting (%)
GHA,2006-01-01,6.0,Wasting (%)
GHA,2008-01-01,8.7,Wasting (%)
GHA,2011-01-01,6.2,Wasting (%)
GHA,2014-01-01,4.7,Wasting (%)
GHA,2017-01-01,6.8,Wasting (%)
GIN,1994-01-01,14.0,Wasting (%)
GIN,1999-01-01,9.7,Wasting (%)
GIN,2005-01-01,11.0,Wasting (%)
GIN,2007-01-01,7.2,Wasting (%)
GIN,2012-01-01,10.0,Wasting (%)
GIN,2016-01-01,8.1,Wasting (%)
GIN,2018-01-01,9.2,Wasting (%)
GMB,2000-01-01,9.1,Wasting (%)
GMB,2006-01-01,7.4,Wasting (%)
GMB,2010-01-01,9.5,Wasting (%)
GMB,2012-01-01,9.5,Wasting (%)
GMB,2013-01-01,11.0,Wasting (%)
GMB,2018-01-01,6.0,Wasting (%)
GMB,2020-01-01,5.1,Wasting (%)
GNB,2000-01-01,11.8,Wasting (%)
GNB,2010-01-01,5.9,Wasting (%)
GNB,2012-01-01,6.2,Wasting (%)
GNB,2014-01-01,6.0,Wasting (%)
GNB,2019-01-01,7.8,Wasting (%)
GNQ,1997-01-01,4.0,Wasting (%)
GNQ,2000-01-01,9.2,Wasting (%)
GNQ,2004-01-01,2.8,Wasting (%)
GNQ,2011-01-01,3.1,Wasting (%)
GRC,2003-01-01,0.6,Wasting (%)
GTM,1987-01-01,1.9,Wasting (%)
GTM,1995-01-01,3.8,Wasting (%)
GTM,1999-01-01,2.9,Wasting (%)
GTM,2000-01-01,3.7,Wasting (%)
GTM,2002-01-01,1.9,Wasting (%)
GTM,2009-01-01,1.0,Wasting (%)
GTM,2015-01-01,0.8,Wasting (%)
GUY,1993-01-01,6.7,Wasting (%)
GUY,1997-01-01,13.3,Wasting (%)
