country,counterpart-area,series,time,value,series_code
Bangladesh,Denmark,"PPG, bilateral (AMT, current US$)",2022,29738656.9,DT.AMT.BLAT.CD
Bangladesh,France,"PPG, bilateral (AMT, current US$)",2022,191536547.9,DT.AMT.BLAT.CD
Bangladesh,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,16144915.1,DT.AMT.BLAT.CD
Bangladesh,India,"PPG, bilateral (AMT, current US$)",2022,341343649.4,DT.AMT.BLAT.CD
Bangladesh,Japan,"PPG, bilateral (AMT, current US$)",2022,107273152.2,DT.AMT.BLAT.CD
Bangladesh,"Korea, Republic Of","PPG, bilateral (AMT, current US$)",2022,16091470.0,DT.AMT.BLAT.CD
Bangladesh,Kuwait,"PPG, bilateral (AMT, current US$)",2022,18328254.0,DT.AMT.BLAT.CD
Bangladesh,Russian Federation,"PPG, bilateral (AMT, current US$)",2022,102607500.0,DT.AMT.BLAT.CD
Bangladesh,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,16120539.0,DT.AMT.BLAT.CD
Bangladesh,Spain,"PPG, bilateral (AMT, current US$)",2022,336500.0,DT.AMT.BLAT.CD
Bangladesh,Switzerland,"PPG, bilateral (AMT, current US$)",2022,289196.8,DT.AMT.BLAT.CD
Bangladesh,United Arab Emirates,"PPG, bilateral (AMT, current US$)",2022,4093383.9,DT.AMT.BLAT.CD
Bangladesh,World,"PPG, bilateral (AMT, current US$)",2022,977704448.4,DT.AMT.BLAT.CD
Belarus,China,"PPG, bilateral (AMT, current US$)",2022,717028116.9,DT.AMT.BLAT.CD
Belarus,Russian Federation,"PPG, bilateral (AMT, current US$)",2022,1339520794.6,DT.AMT.BLAT.CD
Belarus,United Arab Emirates,"PPG, bilateral (AMT, current US$)",2022,0.0,DT.AMT.BLAT.CD
Belarus,United States,"PPG, bilateral (AMT, current US$)",2022,3774900.0,DT.AMT.BLAT.CD
Belarus,World,"PPG, bilateral (AMT, current US$)",2022,2060323811.5,DT.AMT.BLAT.CD
Belize,Kuwait,"PPG, bilateral (AMT, current US$)",2022,2099253.4,DT.AMT.BLAT.CD
Belize,Multiple Lenders,"PPG, bilateral (AMT, current US$)",2022,24528238.3,DT.AMT.BLAT.CD
Belize,"Venezuela, Republic Bolivarian","PPG, bilateral (AMT, current US$)",2022,11221289.6,DT.AMT.BLAT.CD
Belize,World,"PPG, bilateral (AMT, current US$)",2022,37848781.3,DT.AMT.BLAT.CD
Benin,Brazil,"PPG, bilateral (AMT, current US$)",2022,7230769.2,DT.AMT.BLAT.CD
Benin,China,"PPG, bilateral (AMT, current US$)",2022,18393240.8,DT.AMT.BLAT.CD
Benin,France,"PPG, bilateral (AMT, current US$)",2022,3737718.4,DT.AMT.BLAT.CD
Benin,India,"PPG, bilateral (AMT, current US$)",2022,3798144.0,DT.AMT.BLAT.CD
Benin,Kuwait,"PPG, bilateral (AMT, current US$)",2022,7284828.8,DT.AMT.BLAT.CD
Benin,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,25109012.5,DT.AMT.BLAT.CD
Benin,United Arab Emirates,"PPG, bilateral (AMT, current US$)",2022,654681.0,DT.AMT.BLAT.CD
Benin,United Kingdom,"PPG, bilateral (AMT, current US$)",2022,6514858.0,DT.AMT.BLAT.CD
Benin,World,"PPG, bilateral (AMT, current US$)",2022,72723252.7,DT.AMT.BLAT.CD
Bhutan,Austria,"PPG, bilateral (AMT, current US$)",2022,3496744.1,DT.AMT.BLAT.CD
Bhutan,India,"PPG, bilateral (AMT, current US$)",2022,68843884.5,DT.AMT.BLAT.CD
Bhutan,Japan,"PPG, bilateral (AMT, current US$)",2022,1715309.3,DT.AMT.BLAT.CD
Bhutan,World,"PPG, bilateral (AMT, current US$)",2022,74055937.9,DT.AMT.BLAT.CD
Bolivia,Brazil,"PPG, bilateral (AMT, current US$)",2022,27966930.6,DT.AMT.BLAT.CD
Bolivia,China,"PPG, bilateral (AMT, current US$)",2022,63613394.9,DT.AMT.BLAT.CD
Bolivia,France,"PPG, bilateral (AMT, current US$)",2022,10949736.7,DT.AMT.BLAT.CD
Bolivia,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,2692780.1,DT.AMT.BLAT.CD
Bolivia,Italy,"PPG, bilateral (AMT, current US$)",2022,110428.8,DT.AMT.BLAT.CD
Bolivia,Japan,"PPG, bilateral (AMT, current US$)",2022,0.0,DT.AMT.BLAT.CD
Bolivia,"Korea, Republic Of","PPG, bilateral (AMT, current US$)",2022,2447680.9,DT.AMT.BLAT.CD
Bolivia,Spain,"PPG, bilateral (AMT, current US$)",2022,1029975.2,DT.AMT.BLAT.CD
Bolivia,"Venezuela, Republic Bolivarian","PPG, bilateral (AMT, current US$)",2022,68833.3,DT.AMT.BLAT.CD
Bolivia,World,"PPG, bilateral (AMT, current US$)",2022,108879760.5,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Austria,"PPG, bilateral (AMT, current US$)",2022,9189331.1,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Belgium,"PPG, bilateral (AMT, current US$)",2022,657214.4,DT.AMT.BLAT.CD
Bosnia and Herzegovina,France,"PPG, bilateral (AMT, current US$)",2022,14182067.7,DT.AMT.BLAT.CD
Bosnia and Herzegovina,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,44528906.3,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Hungary,"PPG, bilateral (AMT, current US$)",2022,1252345.7,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Italy,"PPG, bilateral (AMT, current US$)",2022,3077176.2,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Japan,"PPG, bilateral (AMT, current US$)",2022,11241510.8,DT.AMT.BLAT.CD
Bosnia and Herzegovina,"Korea, Republic Of","PPG, bilateral (AMT, current US$)",2022,6059137.6,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Kuwait,"PPG, bilateral (AMT, current US$)",2022,3705533.6,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Poland,"PPG, bilateral (AMT, current US$)",2022,1389322.6,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Portugal,"PPG, bilateral (AMT, current US$)",2022,3528072.6,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,4797264.9,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Serbia,"PPG, bilateral (AMT, current US$)",2022,780299.3,DT.AMT.BLAT.CD
Bosnia and Herzegovina,Spain,"PPG, bilateral (AMT, current US$)",2022,1055243.2,DT.AMT.BLAT.CD
Bosnia and Herzegovina,United States,"PPG, bilateral (AMT, current US$)",2022,289196.9,DT.AMT.BLAT.CD
Bosnia and Herzegovina,World,"PPG, bilateral (AMT, current US$)",2022,105732622.9,DT.AMT.BLAT.CD
Botswana,China,"PPG, bilateral (AMT, current US$)",2022,3142052.7,DT.AMT.BLAT.CD
Botswana,Japan,"PPG, bilateral (AMT, current US$)",2022,3956891.2,DT.AMT.BLAT.CD
Botswana,Kuwait,"PPG, bilateral (AMT, current US$)",2022,441370.2,DT.AMT.BLAT.CD
Botswana,World,"PPG, bilateral (AMT, current US$)",2022,7540314.1,DT.AMT.BLAT.CD
Brazil,China,"PPG, bilateral (AMT, current US$)",2022,909090909.1,DT.AMT.BLAT.CD
Brazil,France,"PPG, bilateral (AMT, current US$)",2022,124090711.9,DT.AMT.BLAT.CD
Brazil,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,142197302.5,DT.AMT.BLAT.CD
Brazil,Japan,"PPG, bilateral (AMT, current US$)",2022,123329080.0,DT.AMT.BLAT.CD
Brazil,Spain,"PPG, bilateral (AMT, current US$)",2022,19003368.4,DT.AMT.BLAT.CD
Brazil,World,"PPG, bilateral (AMT, current US$)",2022,1317711371.9,DT.AMT.BLAT.CD
Bulgaria,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,22630181.8,DT.AMT.BLAT.CD
Bulgaria,Japan,"PPG, bilateral (AMT, current US$)",2022,14698638.0,DT.AMT.BLAT.CD
Bulgaria,World,"PPG, bilateral (AMT, current US$)",2022,37328819.8,DT.AMT.BLAT.CD
Burkina Faso,Belgium,"PPG, bilateral (AMT, current US$)",2022,754257.5,DT.AMT.BLAT.CD
Burkina Faso,China,"PPG, bilateral (AMT, current US$)",2022,7949097.2,DT.AMT.BLAT.CD
Burkina Faso,France,"PPG, bilateral (AMT, current US$)",2022,16699130.5,DT.AMT.BLAT.CD
Burkina Faso,India,"PPG, bilateral (AMT, current US$)",2022,3431466.7,DT.AMT.BLAT.CD
Burkina Faso,Japan,"PPG, bilateral (AMT, current US$)",2022,0.0,DT.AMT.BLAT.CD
Burkina Faso,Kuwait,"PPG, bilateral (AMT, current US$)",2022,7706047.2,DT.AMT.BLAT.CD
Burkina Faso,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,3635347.1,DT.AMT.BLAT.CD
Burkina Faso,Spain,"PPG, bilateral (AMT, current US$)",2022,523036.8,DT.AMT.BLAT.CD
Burkina Faso,United Arab Emirates,"PPG, bilateral (AMT, current US$)",2022,792171.6,DT.AMT.BLAT.CD
Burkina Faso,World,"PPG, bilateral (AMT, current US$)",2022,41490554.6,DT.AMT.BLAT.CD
Burundi,China,"PPG, bilateral (AMT, current US$)",2022,6958673.6,DT.AMT.BLAT.CD
Burundi,India,"PPG, bilateral (AMT, current US$)",2022,10011086.7,DT.AMT.BLAT.CD
Burundi,Kuwait,"PPG, bilateral (AMT, current US$)",2022,497208.1,DT.AMT.BLAT.CD
Burundi,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,2005963.6,DT.AMT.BLAT.CD
Burundi,United Arab Emirates,"PPG, bilateral (AMT, current US$)",2022,222328.1,DT.AMT.BLAT.CD
Burundi,World,"PPG, bilateral (AMT, current US$)",2022,19695260.1,DT.AMT.BLAT.CD
Cabo Verde,Austria,"PPG, bilateral (AMT, current US$)",2022,1185714.5,DT.AMT.BLAT.CD
Cabo Verde,Belgium,"PPG, bilateral (AMT, current US$)",2022,44263.3,DT.AMT.BLAT.CD
Cabo Verde,China,"PPG, bilateral (AMT, current US$)",2022,2676325.3,DT.AMT.BLAT.CD
Cabo Verde,France,"PPG, bilateral (AMT, current US$)",2022,5404520.2,DT.AMT.BLAT.CD
Cabo Verde,Japan,"PPG, bilateral (AMT, current US$)",2022,1640401.5,DT.AMT.BLAT.CD
Cabo Verde,Kuwait,"PPG, bilateral (AMT, current US$)",2022,1721268.9,DT.AMT.BLAT.CD
Cabo Verde,Portugal,"PPG, bilateral (AMT, current US$)",2022,16914665.0,DT.AMT.BLAT.CD
Cabo Verde,Saudi Arabia,"PPG, bilateral (AMT, current US$)",2022,999863.1,DT.AMT.BLAT.CD
Cabo Verde,Spain,"PPG, bilateral (AMT, current US$)",2022,4902291.2,DT.AMT.BLAT.CD
Cabo Verde,World,"PPG, bilateral (AMT, current US$)",2022,35489313.0,DT.AMT.BLAT.CD
Cambodia,China,"PPG, bilateral (AMT, current US$)",2022,196686066.5,DT.AMT.BLAT.CD
Cambodia,France,"PPG, bilateral (AMT, current US$)",2022,3901835.2,DT.AMT.BLAT.CD
Cambodia,"Germany, Fed.Rep. Of","PPG, bilateral (AMT, current US$)",2022,322808.8,DT.AMT.BLAT.CD
Cambodia,India,"PPG, bilateral (AMT, current US$)",2022,5681773.4,DT.AMT.BLAT.CD
