iso_code,date,value,indicator
AFG,1997-01-01,53.2,Stunting (%)
AFG,2004-01-01,59.3,Stunting (%)
AFG,2013-01-01,40.4,Stunting (%)
AFG,2018-01-01,38.2,Stunting (%)
AGO,1996-01-01,61.1,Stunting (%)
AGO,2007-01-01,29.2,Stunting (%)
AGO,2015-01-01,37.6,Stunting (%)
ALB,1997-01-01,20.4,Stunting (%)
ALB,2000-01-01,39.2,Stunting (%)
ALB,2005-01-01,26.7,Stunting (%)
ALB,2009-01-01,23.2,Stunting (%)
ALB,2017-01-01,11.3,Stunting (%)
ARG,1994-01-01,7.1,Stunting (%)
ARG,1996-01-01,16.9,Stunting (%)
ARG,2005-01-01,8.2,Stunting (%)
ARG,2019-01-01,7.9,Stunting (%)
ARM,1998-01-01,15.1,Stunting (%)
ARM,2000-01-01,17.3,Stunting (%)
ARM,2005-01-01,17.9,Stunting (%)
ARM,2010-01-01,20.9,Stunting (%)
ARM,2016-01-01,9.4,Stunting (%)
AUS,1995-01-01,0.0,Stunting (%)
AUS,2007-01-01,2.0,Stunting (%)
AZE,1996-01-01,28.0,Stunting (%)
AZE,2000-01-01,24.2,Stunting (%)
AZE,2001-01-01,18.0,Stunting (%)
AZE,2006-01-01,26.5,Stunting (%)
AZE,2011-01-01,16.4,Stunting (%)
AZE,2013-01-01,17.8,Stunting (%)
BDI,1987-01-01,56.2,Stunting (%)
BDI,2000-01-01,64.0,Stunting (%)
BDI,2005-01-01,57.7,Stunting (%)
BDI,2010-01-01,57.6,Stunting (%)
BDI,2016-01-01,55.9,Stunting (%)
BDI,2018-01-01,56.6,Stunting (%)
BDI,2019-01-01,54.0,Stunting (%)
BEL,2014-01-01,1.6,Stunting (%)
BEN,1996-01-01,39.1,Stunting (%)
BEN,2001-01-01,36.2,Stunting (%)
BEN,2008-01-01,37.4,Stunting (%)
BEN,2014-01-01,34.0,Stunting (%)
BEN,2018-01-01,32.2,Stunting (%)
BFA,1993-01-01,38.7,Stunting (%)
BFA,1999-01-01,41.4,Stunting (%)
BFA,2009-01-01,35.1,Stunting (%)
BFA,2010-01-01,34.7,Stunting (%)
BFA,2011-01-01,34.6,Stunting (%)
BFA,2012-01-01,32.8,Stunting (%)
BFA,2013-01-01,31.3,Stunting (%)
BFA,2014-01-01,29.0,Stunting (%)
BFA,2015-01-01,30.1,Stunting (%)
BFA,2016-01-01,26.8,Stunting (%)
BFA,2017-01-01,21.1,Stunting (%)
BFA,2018-01-01,24.9,Stunting (%)
BFA,2019-01-01,23.8,Stunting (%)
BGD,1998-01-01,59.3,Stunting (%)
BGD,1999-01-01,59.9,Stunting (%)
BGD,2000-01-01,51.1,Stunting (%)
BGD,2001-01-01,53.2,Stunting (%)
BGD,2002-01-01,51.4,Stunting (%)
BGD,2003-01-01,47.8,Stunting (%)
BGD,2004-01-01,50.5,Stunting (%)
BGD,2005-01-01,45.9,Stunting (%)
BGD,2006-01-01,45.1,Stunting (%)
BGD,2007-01-01,43.2,Stunting (%)
BGD,2011-01-01,41.3,Stunting (%)
BGD,2013-01-01,38.7,Stunting (%)
BGD,2014-01-01,36.2,Stunting (%)
BGD,2018-01-01,30.9,Stunting (%)
BGD,2019-01-01,28.0,Stunting (%)
BGR,2004-01-01,8.8,Stunting (%)
BGR,2007-01-01,9.2,Stunting (%)
BGR,2014-01-01,7.0,Stunting (%)
BHR,1989-01-01,13.9,Stunting (%)
BHR,1995-01-01,13.6,Stunting (%)
BIH,2000-01-01,12.1,Stunting (%)
BIH,2006-01-01,11.8,Stunting (%)
BIH,2012-01-01,8.9,Stunting (%)
BLR,2005-01-01,4.5,Stunting (%)
BLZ,2006-01-01,22.0,Stunting (%)
BLZ,2011-01-01,19.3,Stunting (%)
BLZ,2015-01-01,15.0,Stunting (%)
BOL,1989-01-01,44.0,Stunting (%)
BOL,1994-01-01,37.1,Stunting (%)
BOL,1998-01-01,33.2,Stunting (%)
