iso_code,date,value,indicator
ABW,2007-01-01,372082100.0,Reserves minus gold (USD)
ABW,2008-01-01,604898900.0,Reserves minus gold (USD)
ABW,2009-01-01,578220110.0,Reserves minus gold (USD)
ABW,2010-01-01,568163690.0,Reserves minus gold (USD)
ABW,2011-01-01,536675980.0,Reserves minus gold (USD)
ABW,2012-01-01,602222300.0,Reserves minus gold (USD)
ABW,2013-01-01,532720670.0,Reserves minus gold (USD)
ABW,2014-01-01,559751000.0,Reserves minus gold (USD)
ABW,2015-01-01,709800560.0,Reserves minus gold (USD)
ABW,2016-01-01,807960890.0,Reserves minus gold (USD)
ABW,2017-01-01,777461452.513966,Reserves minus gold (USD)
ABW,2018-01-01,852082680.0,Reserves minus gold (USD)
ABW,2019-01-01,830000000.0,Reserves minus gold (USD)
ABW,2020-01-01,1023468720.0,Reserves minus gold (USD)
ABW,2021-01-01,1330950300.0,Reserves minus gold (USD)
AFG,1990-01-01,266400667.368511,Reserves minus gold (USD)
AFG,1991-01-01,234894920.253472,Reserves minus gold (USD)
AFG,2008-01-01,2430835946.06326,Reserves minus gold (USD)
AFG,2009-01-01,3501370863.63846,Reserves minus gold (USD)
AFG,2010-01-01,4174367357.95956,Reserves minus gold (USD)
AFG,2011-01-01,5268341390.29608,Reserves minus gold (USD)
AFG,2012-01-01,5982504170.91045,Reserves minus gold (USD)
AFG,2013-01-01,6441933255.85729,Reserves minus gold (USD)
AFG,2014-01-01,6680725917.17282,Reserves minus gold (USD)
AFG,2015-01-01,6231780913.18054,Reserves minus gold (USD)
AFG,2016-01-01,6476337158.7771,Reserves minus gold (USD)
AFG,2017-01-01,7185835046.00596,Reserves minus gold (USD)
AFG,2018-01-01,7305675819.84186,Reserves minus gold (USD)
AFG,2019-01-01,7426979265.63529,Reserves minus gold (USD)
AFG,2020-01-01,8419488003.81955,Reserves minus gold (USD)
AGO,2007-01-01,11196800894.0338,Reserves minus gold (USD)
AGO,2008-01-01,17869411576.4837,Reserves minus gold (USD)
AGO,2009-01-01,13664098153.6474,Reserves minus gold (USD)
AGO,2010-01-01,19678661657.2159,Reserves minus gold (USD)
AGO,2011-01-01,27039761554.085,Reserves minus gold (USD)
AGO,2012-01-01,31161778888.6797,Reserves minus gold (USD)
AGO,2013-01-01,31500815461.6599,Reserves minus gold (USD)
AGO,2014-01-01,27032344084.4907,Reserves minus gold (USD)
AGO,2015-01-01,23790543425.2351,Reserves minus gold (USD)
AGO,2016-01-01,23672191989.4347,Reserves minus gold (USD)
AGO,2017-01-01,17455327770.6619,Reserves minus gold (USD)
AGO,2018-01-01,15410405365.47,Reserves minus gold (USD)
AGO,2019-01-01,16334853784.0603,Reserves minus gold (USD)
AGO,2020-01-01,13781988139.5961,Reserves minus gold (USD)
AGO,2021-01-01,14468113825.809,Reserves minus gold (USD)
