indicator,date,value,iso_code,country_name
Inflation Rate,1993-12-31,2100.0,TKM,Turkmenistan
Inflation Rate,1994-12-31,1736.36,TKM,Turkmenistan
Inflation Rate,1995-12-31,1004.21,TKM,Turkmenistan
Inflation Rate,1996-12-31,992.38,TKM,Turkmenistan
Inflation Rate,1997-12-31,83.72,TKM,Turkmenistan
Inflation Rate,1998-12-31,16.77,TKM,Turkmenistan
Inflation Rate,1999-12-31,23.47,TKM,Turkmenistan
Inflation Rate,2000-12-31,8.04,TKM,Turkmenistan
Inflation Rate,2001-12-31,11.63,TKM,Turkmenistan
Inflation Rate,2002-12-31,8.75,TKM,Turkmenistan
Inflation Rate,2003-12-31,5.59,TKM,Turkmenistan
Inflation Rate,2004-12-31,5.88,TKM,Turkmenistan
Inflation Rate,2005-12-31,10.71,TKM,Turkmenistan
Inflation Rate,2006-12-31,8.16,TKM,Turkmenistan
Inflation Rate,2007-12-31,6.26,TKM,Turkmenistan
Inflation Rate,2008-12-31,14.54,TKM,Turkmenistan
Inflation Rate,2009-12-31,-2.67,TKM,Turkmenistan
Inflation Rate,2010-12-31,4.45,TKM,Turkmenistan
Inflation Rate,2011-12-31,5.28,TKM,Turkmenistan
Inflation Rate,2012-12-31,5.31,TKM,Turkmenistan
Inflation Rate,2013-12-31,6.81,TKM,Turkmenistan
Inflation Rate,2014-12-31,6.01,TKM,Turkmenistan
Inflation Rate,2015-12-31,7.4,TKM,Turkmenistan
Inflation Rate,2016-12-31,3.65,TKM,Turkmenistan
Inflation Rate,2017-12-31,8.04,TKM,Turkmenistan
Inflation Rate,2018-12-31,13.3,TKM,Turkmenistan
Inflation Rate,2019-12-31,5.09,TKM,Turkmenistan
Inflation Rate,2020-12-31,7.58,TKM,Turkmenistan
