indicator,date,value,iso_code,country_name
Food Inflation,2011-04-30,5.6,LSO,Lesotho
Food Inflation,2011-05-31,5.6,LSO,Lesotho
Food Inflation,2011-06-30,6.8,LSO,Lesotho
Food Inflation,2011-07-31,7.1,LSO,Lesotho
Food Inflation,2011-08-31,7.9,LSO,Lesotho
Food Inflation,2011-09-30,8.0,LSO,Lesotho
Food Inflation,2011-10-31,8.9,LSO,Lesotho
Food Inflation,2011-11-30,9.6,LSO,Lesotho
Food Inflation,2011-12-31,10.4,LSO,Lesotho
Food Inflation,2012-01-31,10.3,LSO,Lesotho
Food Inflation,2012-02-29,10.5,LSO,Lesotho
Food Inflation,2012-03-31,11.0,LSO,Lesotho
Food Inflation,2012-04-30,10.7,LSO,Lesotho
Food Inflation,2012-05-31,10.9,LSO,Lesotho
Food Inflation,2012-06-30,10.1,LSO,Lesotho
Food Inflation,2012-07-31,9.8,LSO,Lesotho
Food Inflation,2012-08-31,9.2,LSO,Lesotho
Food Inflation,2012-09-30,9.4,LSO,Lesotho
Food Inflation,2012-10-31,8.9,LSO,Lesotho
Food Inflation,2012-11-30,8.6,LSO,Lesotho
Food Inflation,2012-12-31,8.1,LSO,Lesotho
Food Inflation,2013-01-31,7.6,LSO,Lesotho
Food Inflation,2013-02-28,7.1,LSO,Lesotho
Food Inflation,2013-03-31,6.4,LSO,Lesotho
Food Inflation,2013-04-30,6.2,LSO,Lesotho
Food Inflation,2013-05-31,5.9,LSO,Lesotho
Food Inflation,2013-06-30,5.7,LSO,Lesotho
Food Inflation,2013-07-31,5.2,LSO,Lesotho
Food Inflation,2013-08-31,4.9,LSO,Lesotho
Food Inflation,2013-09-30,4.2,LSO,Lesotho
Food Inflation,2013-10-31,3.8,LSO,Lesotho
Food Inflation,2013-11-30,3.5,LSO,Lesotho
Food Inflation,2013-12-31,3.1,LSO,Lesotho
Food Inflation,2014-01-31,3.2,LSO,Lesotho
Food Inflation,2014-02-28,3.9,LSO,Lesotho
Food Inflation,2014-03-31,4.7,LSO,Lesotho
Food Inflation,2014-04-30,5.5,LSO,Lesotho
Food Inflation,2014-05-31,6.4,LSO,Lesotho
Food Inflation,2014-06-30,6.6,LSO,Lesotho
Food Inflation,2014-07-31,6.5,LSO,Lesotho
Food Inflation,2014-08-31,6.1,LSO,Lesotho
Food Inflation,2014-09-30,5.3,LSO,Lesotho
Food Inflation,2014-10-31,5.4,LSO,Lesotho
Food Inflation,2014-11-30,5.3,LSO,Lesotho
Food Inflation,2014-12-31,5.4,LSO,Lesotho
Food Inflation,2015-01-31,5.2,LSO,Lesotho
Food Inflation,2015-02-28,5.0,LSO,Lesotho
Food Inflation,2015-03-31,4.3,LSO,Lesotho
Food Inflation,2015-04-30,4.2,LSO,Lesotho
Food Inflation,2015-05-31,4.1,LSO,Lesotho
Food Inflation,2015-06-30,4.7,LSO,Lesotho
Food Inflation,2015-07-31,5.3,LSO,Lesotho
Food Inflation,2015-08-31,6.8,LSO,Lesotho
Food Inflation,2015-09-30,8.1,LSO,Lesotho
Food Inflation,2015-10-31,8.8,LSO,Lesotho
Food Inflation,2015-11-30,8.9,LSO,Lesotho
Food Inflation,2015-12-31,9.3,LSO,Lesotho
Food Inflation,2016-01-31,10.2,LSO,Lesotho
Food Inflation,2016-02-29,11.5,LSO,Lesotho
Food Inflation,2016-03-31,13.9,LSO,Lesotho
Food Inflation,2016-04-30,14.8,LSO,Lesotho
Food Inflation,2016-05-31,14.6,LSO,Lesotho
Food Inflation,2016-06-30,13.7,LSO,Lesotho
Food Inflation,2016-07-31,12.1,LSO,Lesotho
Food Inflation,2016-08-31,11.3,LSO,Lesotho
Food Inflation,2016-09-30,10.7,LSO,Lesotho
Food Inflation,2016-10-31,10.1,LSO,Lesotho
Food Inflation,2016-11-30,9.9,LSO,Lesotho
Food Inflation,2016-12-31,9.4,LSO,Lesotho
Food Inflation,2017-01-31,8.5,LSO,Lesotho
Food Inflation,2017-02-28,6.9,LSO,Lesotho
Food Inflation,2017-03-31,5.2,LSO,Lesotho
Food Inflation,2017-04-30,4.8,LSO,Lesotho
Food Inflation,2017-05-31,6.1,LSO,Lesotho
Food Inflation,2017-06-30,6.5,LSO,Lesotho
Food Inflation,2017-07-31,8.1,LSO,Lesotho
Food Inflation,2017-08-31,7.6,LSO,Lesotho
Food Inflation,2017-09-30,7.5,LSO,Lesotho
Food Inflation,2017-10-31,7.2,LSO,Lesotho
Food Inflation,2017-11-30,7.2,LSO,Lesotho
Food Inflation,2017-12-31,7.2,LSO,Lesotho
Food Inflation,2018-01-31,7.2,LSO,Lesotho
Food Inflation,2018-02-28,7.0,LSO,Lesotho
